Date,Rank,Title,Artist,Album,Release Date,Popularity,Spotify ID,Days Between Release and Chart Date
2025-04-26,61,Revolving door,Tate McRae,So Close To What,2025-02-21,91,541sN2qNfIlllGn9nGOQoC,64
2025-04-26,62,Loco,Neton Vega,Loco,2024-12-20,88,63EQbNhgaih4yg5412usWG,127
2025-04-26,63,Hard Fought Hallelujah (with Jelly Roll),"Brandon Lake, Jelly Roll",Hard Fought Hallelujah (with Jelly Roll),2025-02-07,73,4cLC8gydI0O78g8chZugS4,78
2025-04-26,64,Super Bowl LIX Halftime Show - Live,"Kendrick Lamar, NFL",Super Bowl LIX Halftime Show (Live),2025-02-09,72,6g6W3pMAFbp2FS1QCijkpM,76
2025-04-26,65,I'll Show Me,Guy Clark,My Favorite Picture Of You,2013-07-23,15,5mf5cPxDaV0MnZ672tUAwM,4295
2025-04-26,66,Busy Woman,Sabrina Carpenter,Short n' Sweet (Deluxe),2025-02-14,92,0b0Dz0Gi86SVdBxYeiQcCP,71
2025-04-26,67,Holy Smokes,Bailey Zimmerman,Holy Smokes,2024-02-23,77,1kMWJ16W3Yk3hyNmaM7jfQ,428
2025-04-26,68,Caramel,Sleep Token,Caramel,2025-04-04,87,3AdXwuFn7j21HNiFMXvZXt,22
2025-04-26,69,End of the World,Miley Cyrus,End of the World,2025-04-04,86,5SxahezRlC0saXbCALfB7c,22
2025-04-26,70,Love Me Not,Ravyn Lenae,Love Me Not / Love Is Blind,2024-05-03,84,1UNEuG9DYOWiikf00ayr52,358
2025-04-26,71,GIMME A HUG,Drake,$ome $exy $ongs 4 U,2025-02-14,82,5Nz7hI3cCOHmMR4vSLJ1An,71
2025-04-26,72,Fix What You Didn't Break,Nate Smith,Fix What You Didn't Break,2024-08-23,74,0GJ8peTqHq9pu5Yf2vHjjX,246
2025-04-26,73,Call Me When You Break Up (with Gracie Abrams),"Selena Gomez, benny blanco, Gracie Abrams",Call Me When You Break Up (with Gracie Abrams),2025-02-20,82,4yFPKNzjkCS0PpRzhcvy1d,65
2025-04-26,74,Texas,Blake Shelton,Texas,2024-11-15,72,3yU9fLsuDYjzVyZW2FLUqY,162
2025-04-26,75,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",$ome $exy $ongs 4 U,2025-02-14,89,0NUqi0ps17YpLUC3kgsZq0,71
2025-04-26,76,No Pole,Don Toliver,Love Sick (Deluxe),2023-02-28,90,0eaVIYo2zeOaGJeqZ5TwYz,788
2025-04-26,77,Chest Pain (I Love),Malcolm Todd,Chest Pain (I Love),2024-12-04,87,3gPYoFtn70aTgl546XVSET,143
2025-04-26,78,Are You Even Real (feat. Givēon),"Teddy Swims, GIVĒON",I've Tried Everything But Therapy (Part 2),2025-01-24,80,7pDFd3sgEoPnka6k9IyBcH,92
2025-04-26,79,EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,6J5kc12BW5HuP3d7C3vvx8,111
2025-04-26,80,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,94,0aB0v4027ukVziUGwVGYpG,155
2025-04-26,81,Blue Strips,Jessie Murph,Blue Strips,2025-04-11,76,7u7IqryLFAygWFz6bsEB7y,15
2025-04-26,82,The Largest,BigXthaPlug,The Largest,2024-08-09,68,1F5Qp0SJS0QUfqIoQggrLz,260
2025-04-26,83,Morena,"Neton Vega, Peso Pluma",Mi Vida Mi Muerte,2025-02-14,92,4oB8Xd7gMlUEtWoD8bmCXW,71
2025-04-26,84,undressed,sombr,undressed,2025-03-21,89,4AajxCEwGEsmHmT4H1TwjY,36
2025-04-26,85,Feel It (From “Invincible”),d4vd,Feel It (From “Invincible”),2024-03-28,92,3SAga35lAPYdjj3qyfEsCF,394
2025-04-26,86,Backseat Driver,Kane Brown,Backseat Driver,2024-10-11,70,68SYsp6XfIEnlDYMgMyxUv,197
2025-04-26,87,EVIL J0RDAN,Playboi Carti,MUSIC,2025-03-14,91,6iycYUk3oB0NPMdaDUrN1w,43
2025-04-26,88,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,91,0l0vcZMU7AOeQmUIREoI2U,162
2025-04-26,89,NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,5TFD2bmFKGhoCRbX61nXY5,111
2025-04-26,90,"Henry, come on",Lana Del Rey,"Henry, come on",2025-04-11,83,6CYldrsUPBsiPtfLW4xZCl,15
2025-04-26,91,That's Me,Joelpatrick,That's Me,2019-08-05,34,5Z5Dxz3YMoe6F0GneatZGf,2091
2025-04-26,92,TATTOO,Tito Double P,TATTOO,2025-02-27,92,3KgHiAVuP88QoQs9CO4z1P,58
2025-04-26,93,Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),2005,90,63Pi2NAx5yCgeLhCTOrEou,7420
2025-04-26,94,Hands Of Time,Eric Church,Hands Of Time,2025-03-20,64,2XZobkFLKJKBaH9yKpAB2B,37
2025-04-26,95,Por Esos Ojos,Fuerza Regida,Por Esos Ojos,2025-02-11,91,5jHozZMWbrExAFni95mvvH,74
2025-04-26,96,like JENNIE,JENNIE,Ruby,2025-03-07,96,0fK7ie6XwGxQTIkpFoWkd1,50
2025-04-26,97,Not At This Party,Dasha,Not At This Party,2025-02-28,74,2V45ERWv9xrvV7Udm0a8di,57
2025-04-26,98,Whiskey Drink,Jason Aldean,Highway Desperado,2023-11-03,64,4ZIOtzgjSwq7oSkhWqapwa,540
2025-04-26,99,Little Things,Ella Mai,3,2024-11-03,75,2HA4tNLIXY1dGvDVCLeslk,174
2025-04-26,100,dandelion,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025-03-28,86,6wZOZ0votPhc8qdg4UFPtH,29
